Date,Open,High,Low,Close,Adj Close,Volume,Day
2014-02-28,90.419998,90.959999,89.540001,90.339996,83.176086,48609800,0
2014-03-03,89.489998,89.910004,88.870003,89.669998,82.559219,38885700,1
2014-03-04,90.650002,90.980003,90.559998,90.809998,83.608826,33189000,2
2014-03-05,90.959999,91.220001,90.769997,91.059998,83.838997,27203300,3
2014-03-06,91.269997,91.339996,90.650002,90.980003,83.76532,24063900,4
2014-03-07,91.269997,91.360001,90.07,90.529999,83.351028,31167800,5
2014-03-10,90.480003,90.660004,90.029999,90.610001,83.424698,18131700,6
2014-03-11,90.830002,91.059998,89.949997,90.220001,83.065605,27484300,7
2014-03-12,89.809998,90.610001,89.480003,90.559998,83.378647,27977200,8
2014-03-13,90.900002,90.93,88.870003,89.279999,82.200172,48542000,9
2014-03-14,88.989998,89.379997,88.629997,88.669998,81.638557,38732300,10
2014-03-17,89.239998,89.910004,89.190002,89.449997,82.356667,28467200,11
2014-03-18,89.559998,90.639999,89.529999,90.529999,83.351028,31250200,12
2014-03-19,90.559998,90.660004,89.449997,90.040001,82.899895,40869400,13
2014-03-20,89.760002,90.559998,89.580002,90.290001,83.130051,31634500,14
2014-03-21,90.599998,90.650002,88.830002,89,82.129753,62754000,15
2014-03-24,89.32,89.389999,87.410004,88.220001,81.409943,77735300,16
2014-03-25,88.68,89.25,87.769997,88.510002,81.677597,41723300,17
2014-03-26,88.949997,89.150002,87.360001,87.370003,80.625572,40930400,18
2014-03-27,87.25,87.639999,86.400002,86.879997,80.173393,64784500,19
2014-03-28,87.160004,88.010002,86.809998,87.050003,80.330276,39895100,20
2014-03-31,87.730003,88.260002,87.620003,87.669998,80.902412,33924300,21
2014-04-01,88.099998,89.269997,87.709999,89.209999,82.323563,38683800,22
2014-04-02,89.589996,89.68,89.040001,89.440002,82.535767,34631600,23
2014-04-03,89.529999,89.68,88.220001,88.730003,81.880577,30319100,24
2014-04-04,89.32,89.410004,86.139999,86.370003,79.702774,131213200,25
2014-04-07,85.830002,86.629997,84.949997,85.550003,78.946045,83995800,26
2014-04-08,85.650002,86.459999,85.349998,86.339996,79.675079,51495700,27
2014-04-09,86.660004,87.870003,86.43,87.82,81.040825,45685200,28
2014-04-10,87.879997,87.879997,84.860001,85.099998,78.530792,73659600,29
2014-04-11,84.339996,85.440002,83.910004,84.110001,77.617203,93657400,30
2014-04-14,84.849998,85.220001,83.989998,84.769997,78.226273,46500700,31
2014-04-15,85.080002,85.540001,83.279999,85.050003,78.484673,84631500,32
2014-04-16,85.790001,86.18,85.089996,86.18,79.52742,46970900,33
2014-04-17,85.849998,86.629997,85.629997,86.199997,79.545883,53719500,34
2014-04-21,86.400002,86.839996,86,86.839996,80.136475,25947900,35
2014-04-22,87.139999,87.75,86.989998,87.529999,80.773209,38593400,36
2014-04-23,87.529999,87.559998,86.709999,86.760002,80.062668,34376700,37
2014-04-24,88.190002,88.209999,86.650002,87.589996,80.828583,48926300,38
2014-04-25,87.07,87.169998,85.980003,86.190002,79.53669,44334000,39
2014-04-28,86.599998,87.110001,85.110001,86.470001,79.795044,58623800,40
2014-04-29,86.730003,87.32,86.309998,87.160004,80.431778,36742700,41
2014-04-30,86.760002,87.480003,86.540001,87.389999,80.643997,38689400,42
2014-05-01,87.529999,88.150002,87.309998,87.650002,80.883957,37127200,43
2014-05-02,87.949997,88.110001,87.279999,87.489998,80.736298,40074200,44
2014-05-05,86.970001,87.970001,86.760002,87.949997,81.160805,27924400,45
2014-05-06,87.809998,87.860001,86.769997,86.809998,80.108803,33698500,46
2014-05-07,86.989998,87.080002,85.529999,86.559998,79.878075,67489100,47
2014-05-08,86.25,87.529999,86.050003,86.480003,79.804276,46556900,48
2014-05-09,86.43,86.860001,85.849998,86.800003,80.099564,35081500,49
2014-05-12,87.32,88.260002,87.239998,88.230003,81.419189,38951100,50
2014-05-13,88.309998,88.610001,88.120003,88.290001,81.474564,30311900,51
2014-05-14,88.019997,88.349998,87.620003,87.830002,81.050056,26483600,52
2014-05-15,87.809998,87.959999,86.580002,87.139999,80.413307,59680300,53
2014-05-16,87.239998,87.760002,86.639999,87.709999,80.939331,66804100,54
2014-05-19,87.449997,88.459999,87.300003,88.32,81.50222,32017000,55
2014-05-20,88.279999,88.599998,87.639999,88,81.206963,33716000,56
2014-05-21,88.160004,88.889999,88.110001,88.839996,81.982086,36837700,57
2014-05-22,88.940002,89.480003,88.800003,89.230003,82.342003,30617100,58
2014-05-23,89.32,89.900002,89.120003,89.879997,82.941818,22687300,59
2014-05-27,90.279999,91.019997,90.199997,91,83.975365,29725200,60
2014-05-28,90.970001,91.099998,90.650002,90.720001,83.716995,30468100,61
2014-05-29,91.040001,91.309998,90.860001,91.300003,84.252205,33036100,62
2014-05-30,91.32,91.449997,90.830002,91.309998,84.261398,29906400,63
2014-06-02,91.419998,91.440002,90.639999,91.220001,84.178352,30409900,64
2014-06-03,90.919998,91.330002,90.800003,91.18,84.141464,21774500,65
2014-06-04,90.949997,91.669998,90.809998,91.519997,84.4552,20118300,66
2014-06-05,91.599998,92.459999,91.290001,92.290001,85.165764,35583100,67
2014-06-06,92.629997,92.82,92.449997,92.82,85.654854,22680600,68
